date,product_id,quantity,revenue,profit,stock_on_hand,product_name,category,cost_price,selling_price,supplier_id
2023-01-01,PROD_0001,5.0,404.35,141.35000000000002,74,Books - Surface,Books,52.6,80.87,SUP_001
2023-01-01,PROD_0002,0.0,0.0,0.0,20,Electronics - Animal,Electronics,117.13,187.91,SUP_001
2023-01-01,PROD_0003,5.0,923.85,386.69999999999993,56,Books - Show,Books,107.43,184.77,SUP_009
2023-01-01,PROD_0004,20.0,3945.2,1584.7999999999997,34,Toys - Machine,Toys,118.02,197.26,SUP_001
2023-01-01,PROD_0005,4.0,2073.4,665.0400000000002,50,Home Appliances - Not,Home Appliances,352.09,518.35,SUP_003
2023-01-01,PROD_0006,4.0,2815.32,899.2000000000003,40,Home Appliances - Capital,Home Appliances,479.03,703.83,SUP_002
2023-01-01,PROD_0007,3.0,323.34000000000003,151.17000000000002,43,Toys - Win,Toys,57.39,107.78,SUP_010
2023-01-01,PROD_0008,0.0,0.0,0.0,74,Clothing - Human,Clothing,405.49,723.31,SUP_009
2023-01-01,PROD_0009,4.0,2926.48,979.1600000000001,89,Electronics - Bar,Electronics,486.83,731.62,SUP_009
2023-01-01,PROD_0010,2.0,1411.48,578.66,16,Clothing - Old,Clothing,416.41,705.74,SUP_006
2023-01-01,PROD_0011,5.0,654.3000000000001,133.20000000000007,98,Books - Finally,Books,104.22,130.86,SUP_004
2023-01-01,PROD_0012,4.0,3713.96,1742.9200000000003,43,Clothing - Themselves,Clothing,492.76,928.49,SUP_002
2023-01-01,PROD_0013,2.0,499.62,207.2,19,Toys - Production,Toys,146.21,249.81,SUP_006
2023-01-01,PROD_0014,7.0,1832.25,492.5200000000001,90,Home Appliances - Present,Home Appliances,191.39,261.75,SUP_005
2023-01-01,PROD_0015,0.0,0.0,0.0,49,Electronics - Value,Electronics,308.47,412.4,SUP_004
2023-01-01,PROD_0016,3.0,1004.67,295.14,75,Home Appliances - Training,Home Appliances,236.51,334.89,SUP_009
2023-01-01,PROD_0017,0.0,0.0,0.0,13,Home Appliances - High,Home Appliances,345.46,647.49,SUP_001
2023-01-01,PROD_0018,0.0,0.0,0.0,10,Home Appliances - Participant,Home Appliances,412.68,761.0,SUP_007
2023-01-01,PROD_0019,2.0,163.82,78.96,58,Clothing - Dark,Clothing,42.43,81.91,SUP_010
2023-01-01,PROD_0020,0.0,0.0,0.0,89,Clothing - Sea,Clothing,114.19,182.63,SUP_008
2023-01-01,PROD_0021,3.0,585.99,166.62,25,Home Appliances - Available,Home Appliances,139.79,195.33,SUP_009
2023-01-01,PROD_0022,0.0,0.0,0.0,70,Books - Answer,Books,138.74,231.37,SUP_010
2023-01-01,PROD_0023,0.0,0.0,0.0,41,Toys - Recently,Toys,187.38,374.36,SUP_003
2023-01-01,PROD_0024,0.0,0.0,0.0,84,Books - Drive,Books,251.82,454.44,SUP_002
2023-01-01,PROD_0025,4.0,2328.4,1058.6000000000004,70,Home Appliances - Spring,Home Appliances,317.45,582.1,SUP_007
2023-01-01,PROD_0026,3.0,185.73,62.33999999999998,95,Books - Figure,Books,41.13,61.91,SUP_008
2023-01-01,PROD_0027,0.0,0.0,0.0,85,Books - Base,Books,133.19,218.78,SUP_001
2023-01-01,PROD_0028,5.0,2803.2,1082.9999999999998,52,Electronics - Top,Electronics,344.04,560.64,SUP_005
2023-01-01,PROD_0029,0.0,0.0,0.0,50,Clothing - Early,Clothing,64.66,100.08,SUP_008
2023-01-01,PROD_0030,8.0,7258.64,3439.6800000000003,18,Electronics - Trial,Electronics,477.37,907.33,SUP_005
2023-01-01,PROD_0031,0.0,0.0,0.0,60,Books - Blood,Books,383.36,615.73,SUP_002
2023-01-01,PROD_0032,4.0,2713.84,1024.16,30,Clothing - Husband,Clothing,422.42,678.46,SUP_004
2023-01-01,PROD_0033,6.0,1541.0399999999997,381.7199999999998,96,Home Appliances - Fall,Home Appliances,193.22,256.84,SUP_009
2023-01-01,PROD_0034,0.0,0.0,0.0,69,Electronics - Long,Electronics,303.48,482.8,SUP_002
2023-01-01,PROD_0035,4.0,3287.24,1524.9599999999998,9,Clothing - Prove,Clothing,440.57,821.81,SUP_005
2023-01-01,PROD_0036,1.0,73.01,34.63,45,Home Appliances - They,Home Appliances,38.38,73.01,SUP_002
2023-01-01,PROD_0037,7.0,4781.0,2200.59,86,Electronics - His,Electronics,368.63,683.0,SUP_009
2023-01-01,PROD_0038,9.0,1036.8899999999999,380.7,10,Home Appliances - Commercial,Home Appliances,72.91,115.21,SUP_009
2023-01-01,PROD_0039,1.0,265.48,125.60000000000002,100,Home Appliances - Hospital,Home Appliances,139.88,265.48,SUP_007
